Time,S_mean,I_mean,R_mean,S_std,I_std,R_std
0,763,3,0,0,0,0
1,762.994,1.88605,1.11975,0.0759366,0.838967,0.836128
2,762.99,1.1912,1.81855,0.0987671,0.849142,0.846656
3,762.988,0.75695,2.25475,0.108918,0.752381,0.750635
4,762.987,0.4805,2.53285,0.116498,0.635704,0.635626
5,762.986,0.30125,2.71255,0.119204,0.523544,0.527373
6,762.985,0.18875,2.8258,0.122222,0.42382,0.432267
7,762.985,0.1191,2.89585,0.1238,0.339286,0.353699
8,762.985,0.0754,2.93975,0.124581,0.27224,0.293632
9,762.985,0.04705,2.96835,0.12555,0.216417,0.245048
10,762.985,0.02925,2.98615,0.12555,0.171156,0.207745
11,762.985,0.01945,2.99595,0.12555,0.138823,0.184753
12,762.985,0.01215,3.0033,0.125743,0.110464,0.164891
13,762.985,0.00665,3.0088,0.125743,0.0818888,0.1484
14,762.985,0.0043,3.01115,0.125743,0.066193,0.140448
15,762.985,0.00275,3.0127,0.125743,0.0523683,0.135051
