Time,S,I,R,Trajectory
0,763,3,0,0
0.91773,763,2,1,0
2.41575,763,1,2,0
11.7863,763,0,3,0
0,763,3,0,1
0.114835,763,2,1,1
1.92564,763,1,2,1
4.04471,763,0,3,1
0,763,3,0,2
0.0311602,763,2,1,2
1.37356,763,1,2,2
3.80044,763,0,3,2
0,763,3,0,3
0.584861,762,4,0,3
0.847776,762,3,1,3
2.46317,762,2,2,3
2.8732,762,1,3,3
3.10202,762,0,4,3
0,763,3,0,4
0.499255,763,2,1,4
4.75954,763,1,2,4
14.5741,763,0,3,4
0,763,3,0,5
0.228207,763,2,1,5
0.785053,763,1,2,5
0.838915,763,0,3,5
0,763,3,0,6
1.55219,763,2,1,6
2.88558,763,1,2,6
9.92047,763,0,3,6
0,763,3,0,7
0.630283,763,2,1,7
1.19348,763,1,2,7
1.23873,763,0,3,7
0,763,3,0,8
0.135381,763,2,1,8
1.42971,763,1,2,8
2.49798,763,0,3,8
0,763,3,0,9
0.370502,763,2,1,9
0.592114,763,1,2,9
0.939978,763,0,3,9
0,763,3,0,10
0.492144,763,2,1,10
0.687029,763,1,2,10
0.977414,763,0,3,10
0,763,3,0,11
0.557508,763,2,1,11
1.87466,763,1,2,11
6.17409,763,0,3,11
0,763,3,0,12
1.63953,763,2,1,12
2.69818,763,1,2,12
3.15498,763,0,3,12
0,763,3,0,13
1.01296,763,2,1,13
2.28021,763,1,2,13
7.50739,763,0,3,13
0,763,3,0,14
0.296028,763,2,1,14
0.319967,763,1,2,14
0.437435,763,0,3,14
0,763,3,0,15
0.622265,763,2,1,15
0.682288,763,1,2,15
1.07664,763,0,3,15
0,763,3,0,16
0.0550367,763,2,1,16
0.171204,763,1,2,16
0.490129,763,0,3,16
0,763,3,0,17
0.112303,763,2,1,17
2.12484,763,1,2,17
2.63852,763,0,3,17
0,763,3,0,18
1.74879,763,2,1,18
2.18613,763,1,2,18
2.20652,763,0,3,18
0,763,3,0,19
0.0937374,763,2,1,19
0.43157,763,1,2,19
7.41511,763,0,3,19
0,763,3,0,20
1.58297,763,2,1,20
1.6255,763,1,2,20
5.19953,763,0,3,20
0,763,3,0,21
0.0621533,763,2,1,21
0.397481,763,1,2,21
0.525449,763,0,3,21
0,763,3,0,22
2.41262,763,2,1,22
3.66733,763,1,2,22
4.23904,763,0,3,22
0,763,3,0,23
0.197095,763,2,1,23
1.64901,763,1,2,23
3.14968,763,0,3,23
0,763,3,0,24
0.69868,763,2,1,24
2.55057,763,1,2,24
4.59563,763,0,3,24
0,763,3,0,25
0.51141,763,2,1,25
2.32439,763,1,2,25
3.67158,763,0,3,25
0,763,3,0,26
0.314762,763,2,1,26
1.85312,763,1,2,26
4.03511,763,0,3,26
0,763,3,0,27
0.239908,763,2,1,27
1.55396,763,1,2,27
1.75941,763,0,3,27
0,763,3,0,28
0.84239,763,2,1,28
5.86839,763,1,2,28
10.5612,763,0,3,28
0,763,3,0,29
1.37058,763,2,1,29
1.66239,763,1,2,29
7.43579,763,0,3,29
0,763,3,0,30
1.88887,763,2,1,30
4.4068,763,1,2,30
5.44905,763,0,3,30
0,763,3,0,31
4.12961,763,2,1,31
4.90415,763,1,2,31
0,763,3,0,32
0.617645,763,2,1,32
0.879814,763,1,2,32
2.16757,763,0,3,32
0,763,3,0,33
0.744155,763,2,1,33
3.21926,763,1,2,33
7.45272,763,0,3,33
0,763,3,0,34
0.967115,763,2,1,34
1.49053,763,1,2,34
4.18124,763,0,3,34
0,763,3,0,35
0.454772,763,2,1,35
3.23973,763,1,2,35
4.39187,763,0,3,35
0,763,3,0,36
1.09271,763,2,1,36
1.63588,763,1,2,36
3.6322,763,0,3,36
0,763,3,0,37
0.551227,763,2,1,37
2.10473,763,1,2,37
8.20595,763,0,3,37
0,763,3,0,38
0.31507,763,2,1,38
1.40107,763,1,2,38
3.07153,763,0,3,38
0,763,3,0,39
0.12796,763,2,1,39
0.556936,763,1,2,39
1.08667,763,0,3,39
0,763,3,0,40
0.937521,763,2,1,40
4.55516,763,1,2,40
4.61182,763,0,3,40
0,763,3,0,41
0.0528556,763,2,1,41
0.319616,763,1,2,41
2.61281,763,0,3,41
0,763,3,0,42
0.670886,763,2,1,42
1.64582,763,1,2,42
3.27659,763,0,3,42
0,763,3,0,43
1.4137,763,2,1,43
1.92855,763,1,2,43
7.20382,763,0,3,43
0,763,3,0,44
0.208114,763,2,1,44
4.68711,763,1,2,44
6.70579,763,0,3,44
0,763,3,0,45
0.154619,763,2,1,45
0.2799,763,1,2,45
1.14456,763,0,3,45
0,763,3,0,46
0.0693959,763,2,1,46
0.669782,763,1,2,46
3.34189,763,0,3,46
0,763,3,0,47
0.372108,763,2,1,47
0.424615,763,1,2,47
3.8372,763,0,3,47
0,763,3,0,48
0.108263,763,2,1,48
0.330619,763,1,2,48
1.5636,763,0,3,48
0,763,3,0,49
0.402693,763,2,1,49
0.708055,763,1,2,49
1.13988,763,0,3,49
